Japanese,Pronunciation + Vietnamese Translation,Tags
私（わたし）,watashi - Tôi,person
⼈(ひと),hito - Người,person
ベトナム⼈（べとなむじん）,Betonamujin - Người Việt Nam,person
⼀⼈（ひとり）,hitori - 1 người,number
三⼈（さんにん）,sannin - 3 người,number
才（さい）,sai - Tuổi,age
学（がく）,gaku - Học,action
⽣（せい）,sei - Sinh,noun
校（こう）,kou - Trường,place
⽇（にち／か）,nichi/ka - Ngày,date
五⽇（いつか）,itsuka - Ngày 5,date
⼗⼀⽇（じゅういちにち）,juuichinichi - Ngày 11,date
⽇本（にほん）,nihon - Nhật Bản,place
本（ほん）,hon - Sách,object
語（ご）,go - Tiếng / Ngôn ngữ,language
⽇本語 (にほんご),nihongo - Tiếng Nhật,language
しゅみ,shumi - Sở thích,interest
スポーツ,Supootsu - Thể thao,sport
サッカー,Sakkā - Bóng đá,sport
テニス,Tenis - Tennis,sport
すいえい,Suiei - Bơi lội,sport
えいが,Eiga - Phim / Điện ảnh,entertainment
おんがく,Ongaku - Âm nhạc,entertainment
どくしょ,Dokusho - Đọc sách,activity
りょこう,Ryokou - Du lịch,activity
りょうり,Ryourí - Nấu ăn / Món ăn,activity
なん,Nan - Cái gì,question
あ（っ）,A! / Á! - expression,expression
たんじょうび,Tanjoubi - Sinh nhật,event
ブラジル,Burajiru - Brazil,country
～がつ,~gatsu - Tháng,month
～にち／か,~nichi/ka - Ngày,date
～さい,~sai - Tuổi,age
いつ,itsu - Bao giờ - Khi nào,question
わたし,Watashi - Tôi,personal pronoun
（お）なまえ,(o)namae - Tên (bạn),personal
（お）くに,(o)kuni - Đất nước,country
にほん,Nihon - Nhật Bản,country
アメリカ,Amerika - Mỹ,country
イタリア,Itaria - Ý,country
オーストラリア,Ōsutoraria - Úc,country
かんこく,Kankoku - Hàn Quốc,country
タイ,Tai - Thái Lan,country
ちゅうごく,Chuugoku - Trung Quốc,country
ロシア,Roshia - Nga,country
こうこう,Koukou - Trường cấp 3,school
だいがく,Daigaku - Trường đại học,school
にほんごがっこう,Nihongo gakkou - Trường tiếng Nhật,school
（お）しごと,(o)shigoto - Công việc (của bạn),occupation
がくせい,Gakusei - Học sinh - sinh viên,person
せんせい,Sensei - Thầy - cô giáo,occupation
きょうし,Kyoushi - Giáo viên,occupation
かいしゃいん,Kaishain - Nhân viên văn phòng,occupation
しゃいん,Shain - Nhân viên,occupation
～さん,~san - Anh - Chị - Ông - Bà - Bạn ~,honorific
～じん,~jin - Người nước ~,nationality
どちら,Dochira - Ở đâu - Phía nào,question
はじめまして,Hajimemashite - Rất vui được gặp bạn (lần đầu gặp mặt),greeting
よろしくおねがいします,Yoroshiku onegaishimasu - Rất mong nhận được sự giúp đỡ của bạn,expression
こちらこそ,Kochira koso - Tôi cũng mong được bạn giúp đỡ,expression
あのう,"Anou - ờ (kéo sự chú ý của người khác)",expression
すみません,Sumimasen - "Xin lỗi - cho tôi hỏi",expression
あのう、すみません,"Anou - sumimasen" - "À - xin lỗi - cho tôi hỏi",expression
そうですか,Sou desu ka - Thế à - Vậy à,conversation
はい,Hai - vâng - dạ,conversation
いいえ,Iie - không - không phải,conversation
おくにはどちらです,"O-kuni wa dochira desu?" - Đất nước của bạn ở đâu? - Đất nước của bạn là đất nước nào?,conversation
スケジュール,Sukedjyuru - Kế hoạch - lịch,study
アルバイト,Arubaito - Việc làm thêm,job
スキー,Sukii - trượt tuyết,sport
パーティー,Paatii - bữa tiệc,celebration
バーベキュー,Baabekyuu - tiệc nướng ngoài trời (tiệc BBQ),activity
（お）はなび,(o)hanabi - pháo hoa,celebration
（お）はなみ,(o)hanami - ngắm hoa (anh đào),celebration
ホームステイ,Hoomusutei - Ở cùng gia đình bản địa (homestay),place
（お）まつり,(o)matsuri - Lễ hội,celebration
うみ,Umi - biển,place
こうえん,Kouen - công viên,place
さくら,Sakura - hoa anh đào,plant
（お）さけ,(o)sake - rượu,drink
（お）すし,(o)sushi - món sushi,food
バス,Basu - xe buýt,transport
（お）べんとう,(o)bentou - cơm hộp,food
りゅうがくせい,Ryuugakusei - du học sinh,person
いちねん,ichinen - 1 năm,date
はる,haru - mùa xuân,date
なつ,natsu - mùa hè,date
あき,aki - mùa thu,date
ふゆ,fuyu - mùa đông,date
ゴールデンウイーク,Gooruden Uiku - Tuần lễ vàng,date
なに,nani - cái gì - gì,question
いきます,ikimasu - đi,action
きます,kimasu - đến,action
かえります,kaerimasu - về,action
のみます,nomimasu - uống,action
たべます,tabemasu - ăn,action
みます,mimasu - xem - nhìn,action
します,shimasu - làm - chơi,action
いいですね,ii desu ne - Hay quá nhỉ,expression
えっ,E - Ơ! - Hả,expression
へえ,Hee - Chà - Wow,expression
いま,ima - bây giờ,date
ごぜん,Gogoen - Buổi sáng - AM,date
ごご,Gogo - Buổi chiều - PM,date
ひる,hiru - buổi trưa,date
ぎんこう,ginkou - ngân hàng,place
たいいくかん,Taiikukan - nhà thi đấu - nhà tập thể dục,place
としょかん,Toshokan - thư viện,place
びょういん,byouin - bệnh viện,place
ゆうびんきょく,yuubinkyoku - bưu điện,place
じゅぎょう,jugyou - giờ học,date
テスト,Tesuto - Bài kiểm tra,study
やすみ,Yasumi - Nghỉ - Ngày nghỉ,date
じかん,jikan - Thời gian - Giờ giấc,date
～じ,~ji - ~Giờ,date
～ふん,~fun - ~Phút,date
～じはん,~ji han - ~Giờ rưỡi,date
～ようび,~youbi - Thứ~,date
あさ,asa - Buổi sáng,date
よる,yoru - Buổi tối - Đêm,date
まいにち,mainichi - Hàng ngày,date
まいあさ,maiasa - Hàng sáng,date
まいばん,maiban - Mỗi tối,date
あさごはん,asagohan - Bữa sáng,food
ひるごはん,hirugohan - Bữa trưa,food
うち,Uchi - Nhà,place
かいしゃ,Kaisha - Công ty,place
がっこう,Gakkou - Trường học,place
コンビニ,Konbini - Cửa hàng tiện lợi,place
ぎゅうにゅう,Gyuunyuu - Sữa bò,food
くだもの,Kudamono - Hoa quả - Trái cây,food
サラダ,Sarada - Món salad,food
チーズ,Chīzu - phô mai,food
インターネット,Intānetto - mạng internet,technology
しんぶん,Shinbun - báo - tờ báo,media
テレビ,Terebi - tivi,technology
CD（シーディー）,CD (Shiidi) - đĩa CD,technology
DVD（ディーブイディー）,DVD (Dī Bui Dī)DVD,technology
なにも,nanimo - cái gì cũng...,question
どこ（へ）も,doko (e) mo - đâu cũng... / Chỗ nào cũng...,location
かいます,kaimasu - Mua,action
ききます,kikimasu - Nghe,action
はたらきます,hatarakimasu - Làm việc - Lao động,action
よみます,yomimasu - Đọc,action
おきます,okimasu - Thức dậy,action
ねます, nemasu - Ngủ,action
べんきょうします,benkyou shimasu - Học - Học bài - Học tập,action
⽉（つき）,tsuki - Trăng - Tháng,date
⽉曜⽇ (げつようび),Getsuyoubi - Thứ 2,date
⼀⽉（いちがつ）,ichigatsu - Tháng 1,date
⽕（ひ）,hi - Lửa,noun
⽕曜⽇（かようび）,kayoubi - Thứ 3,date
⽔（みず）,mizu - Nước,noun
⽔曜⽇（すいようび）,suiyoubi - Thứ 4,date
⽊（き）,ki - Cây,noun
⽊曜⽇（もくようび）,mokuyoubi - Thứ 5,date
⾦（かね）,kane - Tiền bạc,noun
⾦曜⽇（きんようび）,kinyoubi - Thứ 6,date
⼟（つち）,tsuchi - Đất,noun
⼟曜⽇（どようび）,doyoubi - Thứ 7,date
曜（よう）,you - Ngày,noun
何（なん／なに）,nan/nani - Cái gì,question
年（ねん）,nen - Năm,date
時（じ）,ji - Giờ,noun
間（かん）,kan - Gian,noun
時間（じかん）,jikan - Thời gian,noun
分（ふん）,fun - Phút,noun
ここ／こちら,koko/kochira - Đây - Chỗ này / Phía này,location
そこ／そちら,soko/sochira - Kia - Chỗ kia / Phía kia,location
あそこ／あちら,asoko/achira - Đó - Chỗ đó / Phía đó,location
インフォメーション,Infomeeshon - Quầy thông tin,place
エスカレーター,Esukareetaa - Thang cuốn,place
エレベーター,Erebētaa - Thang máy,place
きつえんしょ,Kitsuen sho - Nơi hút thuốc,place
トイレ,Toire - Nhà vệ sinh,place
レジ,Reji - Quầy thu ngân,place
きっさてん,Kissaten - Quán nước,place
スーパー,Suupaa - Siêu thị,place
１００えんショップ,Hyakuen Shoppu - Cửa hàng 100 yên,place
レストラン,Resutoran - Nhà hàng,place
ちか,Chika - Tầng hầm - Dưới mặt đất,place
カメラ,Kamera - Máy ảnh,object
けいたいでんわ,Keitai denwa - Điện thoại di động,object
でんしじしょ,Denshi jisho - Kim từ điển,object
パソコン,Pasokon - Máy tính cá nhân,object
くつ,Kutsu - Giầy,object
けしゴム,Keshigomu - Cục tẩy,object
ペン,Pen - Bút,object
トイレットペーパー,Toiretto Peepaa - Giấy vệ sinh,object
ほん,Hon - Sách,object
あぶら,Abura - Dầu,object
ケーキ,Keeki - Bánh ngọt,food
こめ,Kome - Gạo,food
たまご,Tamago - Trứng,food
パン,Pan - Bánh mì,food
みず,Mizu - Nước,food
てんいん,Ten'in - Nhân viên bán hàng,occupation
～かい,~kai - Tầng~,location
～や,~ya - Hiệu~ - Cửa hàng~,location
どこ,Doko - Ở đâu - Nơi nào - Chỗ nào,location
いらっしゃいませ,Irasshaimase - Kính chào quý khách,greeting
（どうも）ありがと うございます,(Doumo) Arigatou gozaimasu - Xin cám ơn nhiều,greeting
これ,Kore - Cái này,object
それ,Sore - Cái đó,object
あれ,Are - Cái kia,object
この～,Kono ~ - Cái ~ này,object
その～,Sono ~ - Cái ~ đó,object
あの～,Ano ~ - Cái ~ kia,object
かばん,Kaban - Cặp sách - Túi sách,object
ズボン,Zubon - Quần dài,object
Tシャツ,T shatsu - Áo phông,object
とけい,Tokei - Đồng hồ-,object
～えん,~en - ~Yên,grammar
いくら,Ikura - Bao nhiêu tiền,question
じゃ,Jya - Thế thì - Vậy thì,grammar
さかな,Sakana - Cá,food
にく,Niku - Thịt,food
ぎゅうにく,Gyuuniku - Thịt bò,food
とりにく,Toriniku - Thịt gà,food
ぶたにく,Butaniku - Thịt lợn,food
やさい,Yasai - Rau,food
イチゴ,Ichigo - Dâu tây,food
リンゴ,Ringo - Quả táo,food
カレー,Karee - Món cà ri,food
スープ,Suupu - Cành - Súp,food
とんかつ,Tonkatsu - Thịt lợn chiên xù,food
ハンバーグ,Hanbaagu - Món thịt băm viên (miếng thịt hamburger),food
ごはん,Gohan - Cơm - Bữa ăn,food
ライス,Raisu - Cơm - Gạo,food
ジュース,Juusu - Nước trái cây,drink
コーヒー,Koohii - Cà phê,drink
こうちゃ,Koucha - Trà đen - Hồng trà,drink
（お）ちゃ,(o)cha - Trà - Nước chè,drink
ビール,Biiru - Bia,drink
ワイン,Wain - Rượu vang,drink
インド,Indo - Ấn Độ,location
ドイツ,Doitsu - Đức,location
フランス,Furansu - Pháp,location
えいご, eigo - Tiếng Anh,language
さいふ, saifu - Ví tiền,object
～つ, ~tsu - ~cái, ~chiếc,object
だれ, dare - Ai (hỏi người nào đó),question
ちゅうもんをおねがいます, chuumon o onegai shimasu - Cho tôi gọi đồ,request
どうぞ, douzo - Xin mời,expression
⼀（いち）, ichi - Một,number
⼆（に）, ni - Hai,number
三（さん）, san - Ba,number
四（よん）, yon - Bốn,number
五（ご）, go - Năm,number
六（ろく）, roku - Sáu,number
七（なな）, nana - Bảy,number
⼋（はち）, hachi - Tám,number
九（きゅう）, kyuu - Chín,number
⼗（じゅう）, juu - Mười,number
百（ひゃく）, hyaku - Một trăm,number
千（せん）, sen - Một nghìn,number
万（まん）, man - Mười nghìn (vạn),number
円（えん）, en - Yên,unit